"See All","Ver todo"
"Add to Cart","Añadir al carrito"
"In stock","En stock"
"Out of stock","Sin stock"
"Add to Wish List","Añadir a lista de deseos"
"Add to Compare","Add to Compare"
"Contact Us","Contáctenos"
"* Required Fields","* Campos requeridos"
"Name","Nombre"
"Email","E-mail"
"Phone Number","Número de teléfono"
"What’s on your mind?","¿Cuál es tu consulta?"
"Submit","Enviar"
"Comment","Comentar"
"We can't find products matching the selection.","We can't find products matching the selection."
"Learn More","Learn More"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"Upsell Products","Upsell Products"
"More Choices:","More Choices:"
"Crossel Products","Crossel Products"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
